Step,Distance,Delta Roll,Delta Pitch,Delta Yaw,Force
0,0.3469499356972029,-5.385949781171462e-05,-0.0008779893697958342,7.8596228386562e-06,0.5
1,0.34699970534050334,-7.842645295434991e-05,-0.0012653637723309798,1.1624763880513122e-05,0.5
2,0.3470514822244965,-9.390327343332672e-05,-0.0016292485983314454,1.3994956665477097e-05,0.5
3,0.34708896609777196,-9.849966698656231e-05,-0.0019721087800644967,1.4602622039748503e-05,0.5
4,0.3471150036071074,-6.643250037292601e-05,-0.001829288511254795,9.728826725414575e-06,0.5
5,0.34713056606515164,-2.1171126648855677e-05,-0.0017318774852065565,2.4363864731728045e-06,0.5
6,0.34713570195730425,2.000304097533601e-05,-0.0016287569328155835,-4.368940204074907e-06,0.5
7,0.3471304784808282,4.540461908781879e-05,-0.0015203495109282704,-8.624915379802613e-06,0.5
8,0.3471242072612075,5.7746520695101117e-05,-0.0014043226948209754,-1.0740707218592811e-05,0.5
9,0.34711905056382364,5.7031234325144456e-05,-0.0012789914926899628,-1.0646126747193498e-05,0.5
10,0.34711611989131774,4.321143195591404e-05,-0.0011430818652476806,-8.279130020149701e-06,0.5
11,0.34711546782288777,2.7757796453276027e-05,-0.0010125923667146986,-5.5623564872042354e-06,0.5
12,0.347117145387513,5.709754296372438e-05,-0.0009925675384540535,5.230272621191375e-05,0.5
13,0.34712119159273486,8.935135930165927e-05,-0.0009884520795067464,0.0002606841107116946,0.5
14,0.3470418078935271,0.00012110924267956237,-0.000991483437140117,0.0004554920035127975,0.5
15,0.3468769348011931,0.00015227905003758482,-0.0010015338476532744,0.0006369943167599467,0.5
16,0.3467236105835915,0.00018257666855303614,-0.001016964964204814,0.0008071866681885225,0.5
17,0.34658173639363427,0.00017164558603735005,-0.0009342083157710735,0.0009099445905671058,0.5
18,0.34645117379783524,0.00015699917034890377,-0.0008485857954205978,0.0008496268433067209,0.5
19,0.34633174139715855,0.0001422921226359897,-0.000767921359730589,0.0007895224690084178,0.5
20,0.34622321421264063,0.00012795439498241025,-0.0006915831000278872,0.0007287464716556703,0.5
21,0.34612536431460333,0.00011456884205962581,-0.0006207868667864547,0.0006648316068601156,0.5
22,0.346037943841992,0.00010244356991782056,-0.0005563867981031812,0.0005976447471163499,0.5
23,0.3459606967460081,9.166906866617808e-05,-0.0004986575125205117,0.0005279711177773045,0.5
24,0.3458933785096232,8.217907702343653e-05,-0.0004473307825479944,0.00045640761786590567,0.5
25,0.34583577070753146,7.381841686129321e-05,-0.00040177123816597103,0.000383421078890873,0.5
26,0.34578768902159934,6.639395975343021e-05,-0.0003611479508528137,0.0003093849279619237,0.5
27,0.34574897989397585,5.97097252042822e-05,-0.0003246416143582176,0.00023460303848150051,0.5
28,0.3457194982080937,5.359655497558791e-05,-0.0002914801109541565,0.00015932023886767628,0.5
29,0.3456990955578052,4.8252477050514385e-05,-0.00026204800362341073,9.598679470477699e-05,0.5
30,0.345687473423077,4.3550373484979585e-05,-0.00023622102306171676,4.762822661211127e-05,0.5
31,0.3456780453308184,3.9348267760974664e-05,-0.0002132043197564215,1.4491179892835854e-05,0.5
32,0.3456692858926916,3.558570070305578e-05,-0.00019260503309889154,-3.379120246760348e-06,0.5
33,0.3456613195761236,3.2265311693713276e-05,-0.00017429664207487263,-5.973482254150592e-06,0.5
34,0.3456542218440546,2.9077435655899823e-05,-0.0001572498567352976,-5.5585542871435665e-06,0.5
35,0.34564797031896266,2.607376263989991e-05,-0.0001411317439744264,-5.029018626048071e-06,0.5
36,0.34564247550397376,2.334941383077549e-05,-0.00012643289861845043,-4.5464330527461575e-06,0.5
37,0.34563762433368916,2.0940201618735446e-05,-0.0001132972025104928,-4.112158119522896e-06,0.5
38,0.3456333091215469,1.8825610277595217e-05,-0.00010167850961334546,-3.722476304614253e-06,0.5
39,0.34562944145463187,1.699766680225423e-05,-9.14532190439965e-05,-3.384718413039153e-06,0.5
40,0.3456259554049133,1.5372085716247598e-05,-8.242630030018683e-05,-3.081517283868781e-06,0.5
41,0.34562279873136803,1.3918945351143464e-05,-7.437882960801279e-05,-2.8089223318497614e-06,0.5
42,0.34561996019384333,1.2610557921632904e-05,-6.71603462968795e-05,-2.563416348860814e-06,0.5
43,0.3456174002491507,1.142639344440255e-05,-6.065467686593996e-05,-2.34189918820564e-06,0.5
44,0.34561509463060386,1.03202887311582e-05,-5.474614851027627e-05,-2.129970971125744e-06,0.5
45,0.3456130214720958,-7.40322700627516e-06,-5.6431272587842424e-05,-1.4882013974634732e-06,0.5
46,0.34561115985455204,-4.028870396837192e-05,-0.0001296121687086538,2.263217961996633e-06,0.5
47,0.34567421238015106,-0.00012030420674378207,-9.555053688836136e-05,4.660997791313543e-06,0.5
48,0.345904651641332,-0.0002419065138213661,8.708443449578218e-05,1.2996723896227177e-05,0.5
49,0.3461505533493125,-0.0004073557899394231,0.00041538272523406475,2.59365330083694e-05,0.5
50,0.3464152848549631,-0.000603238042612464,0.0008895810918982006,4.456856555544835e-05,0.5
51,0.34669874299791587,-0.000709721421411036,0.0015848087613864583,4.3855114039989196e-05,0.5
52,0.3469982313831783,-0.0007452090011193846,0.0022803611719711125,2.9702117832440187e-05,0.5
53,0.3472789009867631,-0.0007410652016668352,0.00292759752324831,-1.5507210285804089e-06,0.5
54,0.3475642658359975,-0.000693911883827969,0.0035221358153188277,-4.90480971876088e-05,0.5
55,0.34785637479015924,-0.0005995661155649757,0.004064429767706451,-0.00011480237275537895,0.5
56,0.3481541010021081,-0.0005785983396782157,0.004537816157521057,-0.00017684946344283456,0.5
57,0.3484565011302496,-0.0005800041912283227,0.004979574780015756,-0.0002369600673345587,0.5
58,0.34876272106059286,-0.0005774074512606476,0.005392808445786313,-0.00029904798547704305,0.5
59,0.349071976369232,-0.0005714804604106227,0.005780812904109984,-0.0003616419243263416,0.5
60,0.34938355291760936,-0.0006273418741634451,0.005903707785284229,-0.00044344735729745564,0.5
61,0.3496963012324086,-0.0006904388348131895,0.005968222425815218,-0.0005257736426304423,0.5
62,0.34999852146350496,-0.0007893511948618759,0.00602066494819652,-0.0005645546918704378,0.5
63,0.35030125236199616,-0.0009044074320204487,0.0060535081596488575,-0.0005475732171408664,0.5
64,0.35070835198832845,-0.0010173977840796766,0.006078650020797561,-0.0004885143840636121,0.5
65,0.351123509112385,-0.0010731131156452634,0.006328563416930677,-0.00038422188196460244,0.5
66,0.3515533719816027,-0.0011452163195804666,0.006576886943283439,-0.00025929201525725276,0.5
67,0.35198479078339034,-0.0011781007969785763,0.0067608146560684725,-0.00015280717790157778,0.5
68,0.35241805815647526,-0.0011950101299623484,0.006897748698857024,-8.310490262728177e-05,0.5
69,0.352841539128073,-0.0012141652089121104,0.006978067524486173,-3.8723324942280957e-05,0.5
70,0.35325681334042636,-0.001224947148120581,0.007010633454667037,-1.0844714273062354e-05,0.5
71,0.35366275762723315,-0.0012079081683109118,0.0070171843326409635,6.272180263042042e-06,0.5
72,0.3540568825211063,-0.001193398488975994,0.007024510196530046,8.216284330172553e-06,0.5
73,0.3544385916926549,-0.0010976280326557843,0.006958893037747181,-3.2375108534426876e-05,0.5
74,0.3548087937925634,-0.0010055587548972512,0.006823429839467464,-8.007642455927413e-05,0.5
75,0.3551616869043046,-0.0009221980175785128,0.006663070534451462,-0.00012532070873072883,0.5
76,0.35549564284648194,-0.000851581640782051,0.006507026158068582,-0.00016620569383603967,0.5
77,0.35580901014869754,-0.0007913875100014068,0.006350417477669659,-0.00020314299219218756,0.5
78,0.35610955997303173,-0.00082271646908767,0.006259342019112274,-0.00020288648243260428,0.5
79,0.356403489338976,-0.000861285228744624,0.006231771704479427,-0.00020019314745618427,0.5
80,0.35669219454430723,-0.0009053030874840219,0.006225743592458668,-0.00019742991475416906,0.5
81,0.3569754931211399,-0.0009504033182204275,0.006204750685337349,-0.00019667620290640244,0.5
82,0.3572534796041351,-0.0009944140965225223,0.0053584826208086704,-0.00014238848295050475,0.5
83,0.3575279838604635,-0.0010582102273054338,0.0045403390432690385,-9.629013618211532e-05,0.5
84,0.3575504741998013,-0.0011456762449425283,0.0037798110189793924,-5.525878608329294e-05,0.5
85,0.35756976705604715,-0.0012494315459857575,0.0030760683397533374,-1.7481171223461293e-05,0.5
86,0.3575981139237268,-0.0013503981753440364,0.002343144810149636,4.3312238118718355e-05,0.5
87,0.357633550840672,-0.0014701469151513714,0.0024627585537008874,5.195378951539307e-05,0.5
88,0.3576460877681484,-0.0015868427463753497,0.00258368176453954,7.074862111827894e-05,0.5
89,0.3576602184929566,-0.0016954440648428992,0.0026748992145296316,9.707241376249532e-05,0.5
90,0.3576752608617229,-0.0018011103238791293,0.0027382954184211263,0.00012882396613395568,0.5
91,0.3576902901654064,-0.0019239944881210393,0.0028707398548144863,0.00013996764583893386,0.5
92,0.3577047961831639,-0.0020441481847638166,0.003000588156002578,0.00014975634764689559,0.5
93,0.35771858630823156,-0.0021620653562067107,0.003128097774527666,0.0001575855250904811,0.5
94,0.35773157353993323,-0.002278542480340917,0.00325583894156388,0.00016298333213001816,0.5
95,0.3577436914027093,-0.002394063884426867,0.0033849965624052594,0.00016571418710495893,0.5
96,0.3577548601797391,-0.0025088735211416416,0.0035155677257534615,0.00016575620765647828,0.5
97,0.35776497640595695,-0.0026230980099651194,0.0036473378279928614,0.0001631235485853753,0.5
98,0.3577739135548267,-0.002736840300746124,0.0037800895169993395,0.00015783036461344867,0.5
99,0.35778152702169297,-0.0028502003331735363,0.003913682531223531,0.00014987804738519922,0.5
100,0.3577876595564446,-0.0029632785686755985,0.004048055993139251,0.00013925307822660362,0.5
101,0.3577921453767465,-0.003076173226620771,0.004183201701315347,0.00012592887752186364,0.5
102,0.35779481252626,-0.003188976663954524,0.004319133873439481,0.00010986865810270387,0.5
103,0.35779548375836495,-0.0033017732118182158,0.0044558666602115705,9.102797574103689e-05,0.5
104,0.35779397648526534,-0.003414638937995385,0.004593402137487697,6.935653545755532e-05,0.5
105,0.3577901023103411,-0.0035276428836485078,0.00473172698900076,4.479925332949997e-05,0.5
106,0.35778366651037685,-0.0036408538861250504,0.004870836023512063,1.7297632195509803e-05,0.5
107,0.35777446766063814,-0.0037350572002302408,0.005017049997350476,-1.4935641972448242e-05,0.5
108,0.3577622948096672,-0.003442084202586226,0.005216840000508349,-0.0001078628812835646,0.5
109,0.35774858028706746,-0.0030182214957162226,0.0053700348148228915,-0.00020404854772132603,0.5
110,0.3577222349443573,-0.0024926285746758483,0.005480897393460461,-0.0002926193463729011,0.5
111,0.3577002418074047,-0.0018861006234287103,0.005554213777333403,-0.00037196084892746555,0.5
112,0.35768866335067306,-0.0012379482142848453,0.0056041184856781175,-0.00044307300570573373,0.5
113,0.35768697085921336,-0.0008966515180082623,0.005562198325650594,-0.0004461510744060232,0.5
114,0.3576923490045767,-0.0006668760554615184,0.005592671510562606,-0.0004492179572174365,0.5
115,0.3577090371565882,-0.0006023600097170068,0.005756660404948092,-0.0004678346846988211,0.5
116,0.35772193656984674,-0.0005956461400860036,0.005962805453798684,-0.0004944941994524413,0.5
117,0.3577159694854579,-0.0006192514352640011,0.006181884995814999,-0.0005208910733442418,0.5
118,0.35770565779846625,-0.0006929174030576135,0.006433944763783346,-0.000550264900015073,0.5
119,0.3576952169791978,-0.0007563334539574917,0.006653692312193878,-0.000572479087758465,0.5
120,0.357683670946354,-0.000726731399129843,0.006774253509685597,-0.0005829681922177473,0.5
121,0.3576698328376972,-0.0006907112394820558,0.006880788924389036,-0.0005908041320462386,0.5
122,0.3576531341889182,-0.00065561227684805,0.006980849920203453,-0.0006014033634641768,0.5
123,0.35763333361266136,-0.000621326186436555,0.007075326533869709,-0.0006151833116618729,0.5
124,0.3576103370349856,-0.0005871645309263763,0.007164635285859589,-0.0006314368664819686,0.5
125,0.35758411411801694,-0.0005529612484968639,0.007249573981609242,-0.0006497211824045891,0.5
126,0.35755465695817645,-0.0004791031632176868,0.007296650993681664,-0.0006664561549906035,0.5
127,0.3575219600354529,-0.0004060541088119152,0.007339016741059379,-0.000685245021618907,0.5
128,0.35749868997859496,-0.0003344169767731664,0.00737795728273738,-0.0007059929294842846,0.5
129,0.35746908438647096,-0.00026395683596902586,0.007413808630791675,-0.000728056454456688,0.5
130,0.35743409690424116,-0.0001945084382818152,0.007446767341348299,-0.0007509598583362604,0.5
131,0.35739473866414706,-0.00016538888982875477,0.007511136254547768,-0.0007775884891813823,0.5
132,0.3573515602388046,-0.00013638255941597066,0.00757483356628142,-0.0008037762940495922,0.5
133,0.3573049516204566,-0.00010693231644642864,0.007637181521892401,-0.0008291467611020227,0.5
134,0.3572548418535546,-7.723240610824078e-05,0.007698296882538064,-0.0008539315239715705,0.5
135,0.3572013042920754,-4.7413370991833406e-05,0.007758357081498092,-0.0008782553288299675,0.5
136,0.3571443676591951,-1.7761508370561788e-05,0.007817670688550039,-0.000902182892335798,0.5
137,0.35708402383358323,1.1933762956939377e-05,0.00787611130876864,-0.0009257492592332985,0.5
138,0.3570202458935906,4.168306026803848e-05,0.007933827271686057,-0.0009489710773526977,0.5
139,0.3569529979525829,7.142979537047013e-05,0.007990966767581209,-0.0009718640890730449,0.5
140,0.3568822394751438,0.00010114518923201032,0.008047639111541082,-0.0009944338973708155,0.5
141,0.35680792708072234,0.00013081688143303796,0.008103926802212147,-0.0010166803425663447,0.5
142,0.3567300153480052,0.00016044102593939515,0.008159894363548836,-0.0010386000227242064,0.5
143,0.35664845725223066,0.00019001863769005925,0.008215593368858165,-0.0010601876039564536,0.5
144,0.3565632044704736,0.0002195539744188402,0.008271065580636783,-0.0010814365529307106,0.5
145,0.3564742076293606,0.00024905372459569367,0.00832634517516596,-0.0011023395870391065,0.5
146,0.3563814165123687,0.0002785265075615939,0.00838146040703567,-0.0011228889607336624,0.5
147,0.35628478022874,0.00030772818463118415,0.008436606912187684,-0.0011431053992857591,0.5
148,0.3561842473460426,0.00033691108388120836,0.008491637934546305,-0.0011629474068095163,0.5
149,0.35607969156847613,0.0003661289880837693,0.008546541804869068,-0.0011824030101956554,0.5
150,0.35597114029219373,0.00039539297773618645,0.008601334568141184,-0.0012014662235561905,0.5
151,0.35585855072158856,0.00042471445238527754,0.008656030619305565,-0.0012201302834425167,0.5
152,0.3557418655605158,0.00045436058958241436,0.008710469934888844,-0.0012383588080864948,0.5
153,0.3556210286008747,0.0004841046990458509,0.008764829052680279,-0.0012561767184583164,0.5
154,0.3554959848094482,0.0005139208688484054,0.008819144559998316,-0.0012735786076945846,0.5
155,0.35536667985712145,0.0005438278976372502,0.008873421184508358,-0.0012905522949987962,0.5
156,0.35523305981584963,0.0005738461506242132,0.008927661711207202,-0.0013070855509591506,0.5
157,0.35509507101138377,0.0006039963771421243,0.008981868138529837,-0.0013231661052993714,0.5
158,0.3549526599677804,0.0006342998550308288,0.009036041758947323,-0.001338781415880233,0.5
159,0.35480577340285513,0.0006647785845273369,0.009090183173015999,-0.001353918480718637,0.5
160,0.3546543582520095,0.0006954554271478841,0.009144292328670468,-0.0013685636944813814,0.5
161,0.35449836170812915,0.0007263542134150925,0.009198368566744854,-0.0013827027281749743,0.5
162,0.3543377312709568,0.0007577265118616338,0.009252279803532815,-0.0013962724115343579,0.5
163,0.3541724148026147,0.0007891817307609017,0.009306254697936046,-0.0014093604625350557,0.5
164,0.35400252470361576,0.0008856369153872556,0.009308868354110357,-0.0014071279872928445,0.5
165,0.3538277548118765,0.0010504946863457044,0.009245240461797666,-0.0013931002339719668,0.5
166,0.3536995381550268,0.0012634977127111036,0.009135373666609815,-0.0013857640129805492,0.5
167,0.3536241876139453,0.0012589039191789554,0.008850520352262258,-0.001339652405714953,0.5
168,0.35358759181732274,0.0012526428243974765,0.008538285914666321,-0.0012675350297387217,0.5
169,0.3535028453677338,0.001192265587383723,0.008244813704431753,-0.0011838525177837998,0.5
170,0.35342820696283994,0.0010710951737303632,0.008022712665754517,-0.0010980448843217348,0.5
171,0.3533765061731257,0.0009078323029542368,0.00784953942645359,-0.0009945969360218897,0.5
172,0.3533240774222101,0.0009660131226522318,0.007851491949145382,-0.0009213138935802306,0.5
173,0.35326995197325545,0.0008849803924817934,0.007726288647357027,-0.0008541070054759848,0.5
174,0.3532134129742081,0.0007928741451471489,0.007629258530915561,-0.0007999628689554089,0.5
175,0.3531435452367857,0.0006987848603561276,0.007530345816783002,-0.0007480231267624843,0.5
176,0.3530714845553502,0.0006043434488499423,0.007431454863032316,-0.0006972499709386711,0.5
177,0.3529985220697641,0.0005107181973939668,0.007333855142870506,-0.0006468073912250225,0.5
178,0.35292403884813606,0.0005613926308114082,0.007389961173893767,-0.0006089020234414267,0.5
179,0.35284744224248843,0.0006149678501038204,0.007448613029969021,-0.0005775903970301283,0.5
180,0.35276815635239395,0.0006654158524562525,0.007501874452075641,-0.0005512023674882196,0.5
181,0.3526858262483911,0.0007122345769031924,0.00754983414375663,-0.0005282365759222584,0.5
182,0.3526001862790301,0.0007558163233574611,0.00759336084484874,-0.0005075248801974825,0.5
183,0.3525110685646846,0.000797808222416041,0.007634520046019899,-0.0004883058228182496,0.5
