Step,Distance,Delta Roll,Delta Pitch,Delta Yaw,Force
0,0.6678299680737702,-2.9896045372623806e-08,-9.288743163526903e-10,-1.8207295864991482e-06,0.5
1,0.6678307374643152,-4.492499670050166e-08,-1.3991785174916062e-09,-2.730650493276699e-06,0.5
2,0.6678315004001917,-6.00086430324609e-08,-1.8734394868769044e-09,-3.640271318960942e-06,0.5
3,0.6678322568139088,-7.51475433879989e-08,-2.3517043312715202e-09,-4.549588905011782e-06,0.5
4,0.667833006637267,-7.542103697133484e-08,-2.3715120478495778e-09,-4.548088335187828e-06,0.5
5,0.6678337498013406,-7.569734368217951e-08,-2.3915105229477263e-09,-4.546571970065472e-06,0.5
6,0.6678344862364883,-7.597649194224232e-08,-2.411699784321542e-09,-4.545039643755189e-06,0.5
7,0.6678352158723316,-7.625850466652652e-08,-2.432093459958651e-09,-4.543491188568894e-06,0.5
8,0.6678359386377557,-7.654341622753692e-08,-2.452682262843453e-09,-4.541926434153965e-06,0.5
9,0.6678366544608901,-7.683125433644023e-08,-2.473471577557618e-09,-4.540345209225194e-06,0.5
10,0.6678373632691137,-7.712204910248489e-08,-2.4944616039412896e-09,-4.538747340010474e-06,0.5
11,0.6678380649890405,-7.741582823683757e-08,-2.5156588756569676e-09,-4.5371326515608604e-06,0.5
12,0.6678387595465125,-7.771262628963882e-08,-2.5370565481797064e-09,-4.5355009663961e-06,0.5
13,0.667839446866588,-7.801246919569848e-08,-2.558663975138487e-09,-4.5338521060145355e-06,0.5
14,0.6678401268735384,-7.831539052816084e-08,-2.580479629976651e-09,-4.532185888894702e-06,0.5
15,0.6678407994908366,-7.862141835346393e-08,-2.602510379423606e-09,-4.530502132782388e-06,0.5
16,0.667841464641153,-7.893058864283376e-08,-2.624747036383823e-09,-4.528800652092713e-06,0.5
17,0.6678421222463375,-7.924292928507271e-08,-2.6472028624713316e-09,-4.527081260485843e-06,0.5
18,0.667842772227427,-7.95584754520462e-08,-2.6698701915961466e-09,-4.525343768868595e-06,0.5
19,0.6678434145046138,-7.987725547664581e-08,-2.6927600205173264e-09,-4.5235879868377186e-06,0.5
20,0.6678440489972592,-8.019930719527225e-08,-2.715862679192327e-09,-4.521813720881341e-06,0.5
21,0.6678446756238694,-8.052465876318139e-08,-2.7391918622221565e-09,-4.520020776843658e-06,0.5
22,0.6678452943020957,-8.085334357588182e-08,-2.7627467424906625e-09,-4.5182089576600856e-06,0.5
23,0.6678459049487182,-8.118539920332069e-08,-2.786523201070423e-09,-4.516378063490478e-06,0.5
24,0.6678465074796378,-8.152085788637465e-08,-2.8105265170719204e-09,-4.514527893673126e-06,0.5
25,0.6678471018098773,-8.185975177710248e-08,-2.8347609426493394e-09,-4.512658245214852e-06,0.5
26,0.6678476878535562,-8.22021171131837e-08,-2.859225572970914e-09,-4.5107689120360565e-06,0.5
27,0.6678482655238911,-8.254798951057296e-08,-2.883922156637908e-09,-4.5088596863918085e-06,0.5
28,0.6678488347331837,-8.28974027200502e-08,-2.908856178152064e-09,-4.506930358627593e-06,0.5
29,0.6678493953928057,-8.32503937786555e-08,-2.9340232909902396e-09,-4.504980716157903e-06,0.5
30,0.6678499474132021,-8.360699625953317e-08,-2.959434930449589e-09,-4.503010544842923e-06,0.5
31,0.6678504907038687,-8.3967251285344e-08,-2.985081332118611e-09,-4.501019627345394e-06,0.5
32,0.6678510251733419,-8.433119225159658e-08,-3.0109696069757778e-09,-4.499007744929174e-06,0.5
33,0.6678515507292053,-8.469885779405218e-08,-3.0371002657236805e-09,-4.4969746759715434e-06,0.5
34,0.6678520672780535,-8.507028113058369e-08,-3.063483627885333e-09,-4.494920197362085e-06,0.5
35,0.6678525747255041,-8.544550551548015e-08,-3.090110489711862e-09,-4.4928440819935744e-06,0.5
36,0.6678530729761712,-8.58245628343468e-08,-3.1169943792708213e-09,-4.49074610220368e-06,0.5
37,0.6678535619336664,-8.620749767374036e-08,-3.144127175280787e-09,-4.488626025844767e-06,0.5
38,0.667854041500584,-8.659434280744449e-08,-3.171519652456212e-09,-4.486483620524951e-06,0.5
39,0.6678545115784864,-8.698514566418681e-08,-3.1991614024562413e-09,-4.4843186486343e-06,0.5
40,0.6678549720678977,-8.737993990592941e-08,-3.2270637384534956e-09,-4.482130872673906e-06,0.5
41,0.6678554228682931,-8.77787676323294e-08,-3.2552255169182593e-09,-4.479920050970421e-06,0.5
42,0.6678558638780812,-8.81816682785086e-08,-3.2836503516264774e-09,-4.477685940162956e-06,0.5
43,0.6678562949946008,-8.858868421057765e-08,-3.3123387477296264e-09,-4.475428293404526e-06,0.5
44,0.6678567161141025,-8.899985459720483e-08,-3.3412945910082923e-09,-4.473146862249422e-06,0.5
45,0.6678571271317413,-4.1817915619191123e-08,0.00017896792726873056,-4.3576853234750246e-06,0.5
46,0.6678575279415649,2.018024889416381e-07,0.0010847890647779968,-3.790568172856723e-06,0.5
47,0.6678469367780886,4.503262676536224e-07,0.0019947702868435336,-3.218776982971683e-06,0.5
48,0.6677928265866524,7.013755861429161e-07,0.002904772954505897,-2.6418942747019614e-06,0.5
49,0.6677400901035003,9.55279177894397e-07,0.0038147760225513807,-2.060728585706606e-06,0.5
50,0.6676889458605498,1.1648741277348052e-06,0.004545807686177573,-1.5901868855694448e-06,0.5
51,0.6676394163177352,1.1806448592110996e-06,0.004549989459515891,-1.5659329312356363e-06,0.5
52,0.6675915183951491,1.1943458585683687e-06,0.004550011177782882,-1.5409193245830013e-06,0.5
53,0.6675452135148074,1.2085010768991823e-06,0.00455001202553702,-1.5158376658552798e-06,0.5
54,0.6675005011440783,1.222723247717994e-06,0.004550011982396862,-1.4892815635381141e-06,0.5
55,0.6674574371662217,1.2366729433388457e-06,0.004550012060131325,-1.4594025232517184e-06,0.5
56,0.6674159617606706,1.2517185246530004e-06,0.0045500124530684135,-1.4324897520401336e-06,0.5
57,0.6673760741434956,1.2673776645932833e-06,0.004550012688655969,-1.407683342202759e-06,0.5
58,0.6673378336948605,1.2831322871775796e-06,0.004550012312390201,-1.3819407869375412e-06,0.5
59,0.6673012200842048,1.2998820397847055e-06,0.00455001145455192,-1.3604838809744279e-06,0.5
60,0.667266194416809,1.3001633137221804e-06,0.004549765377676107,-1.3592046474553146e-06,0.5
61,0.6672328215117612,1.3067566451141488e-06,0.0045494770439232085,-1.4055099233578617e-06,0.5
62,0.6672013049693705,1.3310580406766803e-06,0.004549465153082089,-1.4577789410941123e-06,0.5
63,0.6671720751326485,1.3554983085306562e-06,0.0045494588955822205,-1.5111277356094632e-06,0.5
64,0.6671445506251412,1.3790416010017738e-06,0.0045494535848999125,-1.5608226928032211e-06,0.5
65,0.6671186428085264,1.4192719503647313e-06,0.004549692667213565,-1.593008089417758e-06,0.5
66,0.6670943512944768,1.452650117439447e-06,0.004549974430129822,-1.574747276156252e-06,0.5
67,0.6670717020984157,1.4680759088392392e-06,0.004549979820420717,-1.548505795123667e-06,0.5
68,0.667050668651557,1.4836983514676663e-06,0.004549979120474341,-1.5238784203841506e-06,0.5
69,0.6670312502692711,1.4996518701515527e-06,0.0045499788379853275,-1.4989147099742084e-06,0.5
70,0.6670134729707196,1.5158798399639296e-06,0.004549978628956037,-1.4736213373778283e-06,0.5
71,0.6669973099269898,1.5324265183913612e-06,0.00454997832838705,-1.447986138569668e-06,0.5
72,0.666982787158574,1.5494221958789467e-06,0.004549977909543526,-1.4241733822251135e-06,0.5
73,0.6669698776914663,1.5666065494635008e-06,0.004549978080586635,-1.3980435972671403e-06,0.5
74,0.6669586230896761,1.58410681914134e-06,0.004549977784822382,-1.3715768813593599e-06,0.5
75,0.6669489809759993,1.6019064156047592e-06,0.004549977554180393,-1.3447763972163075e-06,0.5
76,0.6669409503453462,1.620050999751044e-06,0.004549977238499855,-1.3176376390644507e-06,0.5
77,0.6669345570532264,1.6384784927048205e-06,0.004549976549530413,-1.2900151880268496e-06,0.5
78,0.6669297738775968,1.657318101422334e-06,0.0045499756556909784,-1.2640607502500956e-06,0.5
79,0.6669266264515776,1.6765331409374087e-06,0.004549975305369409,-1.237793633879214e-06,0.5
80,0.6669251142818147,1.6960377777763826e-06,0.004549975545061941,-1.2091822290116738e-06,0.5
81,0.6669252102762983,1.7158877851031208e-06,0.0045499751552777285,-1.1802131574478737e-06,0.5
82,0.6669269131753333,1.7314012441538296e-06,0.004549989856887635,-1.1637370568085003e-06,0.5
83,0.6669302216694728,1.7501755594118153e-06,0.00455002273561766,-1.1747802337147562e-06,0.5
84,0.6669354034043006,1.7717207532186308e-06,0.004550033069468001,-1.1941522996883335e-06,0.5
85,0.6669427594152199,1.7931610185151215e-06,0.004550042116488243,-1.2143004710418738e-06,0.5
86,0.6669518949437887,1.8145363743116151e-06,0.004550051275353273,-1.2352431644213624e-06,0.5
87,0.6669626591169439,1.8405366776441668e-06,0.004550046154537092,-1.2461622914017311e-06,0.5
88,0.6669750507945715,1.8634241343740145e-06,0.004550022844823665,-1.2280662414543288e-06,0.5
89,0.6669891324829607,1.8838045810376513e-06,0.004550021638551099,-1.202142678047302e-06,0.5
90,0.6670048414407793,1.904516929496225e-06,0.004550021492806549,-1.17704463149515e-06,0.5
91,0.6670221764029513,1.92552474373997e-06,0.00455002216105205,-1.1550518934866361e-06,0.5
92,0.6670411553653639,1.9467835604025653e-06,0.004550022216197085,-1.128857251897486e-06,0.5
